날짜,Negative,Positive,X_t,nsi,Negative_percent,Positive_percent
2021/05/23,241.0,115.0,-0.3539325842696629,91.789,0.6769662921348315,0.32303370786516855
2021/05/24,240.0,111.0,-0.3675213675213675,90.652,0.6837606837606838,0.3162393162393162
2021/05/25,250.0,108.0,-0.3966480446927374,88.199,0.6983240223463687,0.3016759776536313
2021/05/26,287.0,126.0,-0.3898305084745763,88.822,0.6949152542372882,0.3050847457627119
2021/05/27,307.0,131.0,-0.4018264840182648,87.842,0.7009132420091324,0.2990867579908676
2021/05/28,382.0,186.0,-0.3450704225352112,92.716,0.6725352112676056,0.3274647887323944
2021/05/29,474.0,212.0,-0.3819241982507289,89.593,0.6909620991253644,0.30903790087463556
2021/05/30,491.0,239.0,-0.3452054794520548,92.754,0.6726027397260274,0.3273972602739726
2021/05/31,649.0,357.0,-0.2902584493041749,97.467,0.6451292246520874,0.3548707753479125
2021/06/01,859.0,524.0,-0.2422270426608821,101.585,0.6211135213304411,0.37888647866955893
2021/06/02,876.0,550.0,-0.2286115007012622,102.751,0.6143057503506312,0.3856942496493689
2021/06/03,911.0,622.0,-0.1885192433137638,106.188,0.594259621656882,0.40574037834311805
2021/06/04,890.0,590.0,-0.2027027027027027,104.957,0.6013513513513513,0.39864864864864863
2021/06/05,811.0,564.0,-0.1796363636363636,106.931,0.5898181818181818,0.4101818181818182
2021/06/06,806.0,572.0,-0.1698113207547169,107.76,0.5849056603773585,0.41509433962264153
2021/06/07,642.0,486.0,-0.1382978723404255,110.448,0.5691489361702128,0.4308510638297872
2021/06/08,497.0,361.0,-0.1585081585081585,108.681,0.5792540792540792,0.42074592074592077
2021/06/09,486.0,430.0,-0.0611353711790393,116.992,0.5305676855895196,0.46943231441048033
2021/06/10,488.0,439.0,-0.052858683926645,117.597,0.5264293419633226,0.47357065803667747
2021/06/11,478.0,445.0,-0.0357529794149512,118.935,0.5178764897074756,0.48212351029252437
2021/06/12,492.0,445.0,-0.0501600853788687,117.596,0.5250800426894343,0.47491995731056563
2021/06/13,484.0,412.0,-0.0803571428571428,114.949,0.5401785714285714,0.45982142857142855
2021/06/14,523.0,404.0,-0.128371089536138,110.829,0.564185544768069,0.43581445523193096
2021/06/15,462.0,379.0,-0.0986920332936979,113.3,0.549346016646849,0.450653983353151
2021/06/16,533.0,299.0,-0.28125,97.789,0.640625,0.359375
2021/06/17,688.0,288.0,-0.4098360655737705,86.898,0.7049180327868853,0.29508196721311475
2021/06/18,657.0,270.0,-0.4174757281553398,86.306,0.7087378640776699,0.2912621359223301
2021/06/19,653.0,280.0,-0.3997856377277599,87.852,0.69989281886388,0.30010718113612006
2021/06/20,656.0,296.0,-0.3781512605042016,89.718,0.6890756302521008,0.31092436974789917
2021/06/21,640.0,295.0,-0.3689839572192513,90.522,0.6844919786096256,0.3155080213903743
2021/06/22,642.0,289.0,-0.3791621911922664,89.689,0.6895810955961332,0.3104189044038668
2021/06/23,603.0,340.0,-0.2788971367974549,98.198,0.6394485683987274,0.3605514316012725
2021/06/24,413.0,285.0,-0.1833810888252149,106.3,0.5916905444126075,0.40830945558739257
2021/06/25,469.0,332.0,-0.1710362047440699,107.333,0.5855181023720349,0.41448189762796506
2021/06/26,494.0,344.0,-0.1789976133651551,106.642,0.5894988066825776,0.4105011933174224
2021/06/27,523.0,352.0,-0.1954285714285714,105.234,0.5977142857142858,0.4022857142857143
2021/06/28,553.0,351.0,-0.2234513274336283,102.841,0.6117256637168141,0.38827433628318586
2021/06/29,577.0,404.0,-0.1763506625891947,106.847,0.5881753312945973,0.41182466870540263
2021/06/30,502.0,346.0,-0.1839622641509433,106.185,0.5919811320754716,0.4080188679245283
2021/07/01,615.0,362.0,-0.2589559877175025,99.774,0.6294779938587513,0.3705220061412487
2021/07/02,717.0,436.0,-0.243712055507372,101.077,0.6218560277536861,0.37814397224631396
2021/07/03,717.0,417.0,-0.2645502645502645,99.292,0.6322751322751323,0.36772486772486773
2021/07/04,689.0,412.0,-0.251589464123524,100.404,0.6257947320617621,0.37420526793823794
2021/07/05,774.0,510.0,-0.205607476635514,104.35,0.602803738317757,0.397196261682243
2021/07/06,814.0,493.0,-0.2456006120887528,100.907,0.6228003060443764,0.3771996939556236
2021/07/07,931.0,564.0,-0.2454849498327759,100.915,0.622742474916388,0.37725752508361204
2021/07/08,881.0,572.0,-0.2126634549208534,103.742,0.6063317274604267,0.3936682725395733
2021/07/09,755.0,464.0,-0.2387202625102543,101.488,0.6193601312551271,0.3806398687448728
2021/07/10,724.0,488.0,-0.1947194719471947,105.286,0.5973597359735974,0.40264026402640263
2021/07/11,775.0,478.0,-0.2370311252992817,101.62,0.6185155626496409,0.38148443735035914
2021/07/12,668.0,365.0,-0.2933204259438529,96.743,0.6466602129719264,0.35333978702807356
2021/07/13,774.0,366.0,-0.3578947368421052,91.158,0.6789473684210526,0.32105263157894737
2021/07/14,789.0,333.0,-0.4064171122994652,86.991,0.7032085561497327,0.2967914438502674
2021/07/15,743.0,310.0,-0.4112060778727445,86.626,0.7056030389363722,0.2943969610636277
2021/07/16,753.0,312.0,-0.4140845070422535,86.429,0.7070422535211267,0.29295774647887324
2021/07/17,746.0,285.0,-0.4471387002909796,83.648,0.7235693501454898,0.27643064985451016
2021/07/18,682.0,273.0,-0.4282722513089005,85.34,0.7141361256544503,0.2858638743455497
